1,54,-166
2,33,83
3,5,117
4,10,122
5,39,38
6,39,-114
7,5,125
8,44,84
9,43,84
10,52,25
11,55,55
12,51,112
13,6,124
14,8,122
15,52,27
16,53,31
17,12,120
18,53,27
19,11,126
20,-28,135
21,42,83
22,52,122
23,34,80
24,41,83
25,55,28
26,6,122
27,-5,106
28,55,-67
29,5,120
30,9,118
32,26,42
34,33,56
36,23,58
39,31,110
43,68,159
47,22,42
51,47,58
55,49,64
59,53,128
63,61,59
67,-16,33
71,-9,-74
75,28,97
79,51,67
83,54,94
87,47,47
91,42,68
95,61,34
99,55,71
103,53,68
107,33,104
111,45,70
115,41,111
119,-10,-45
123,59,111
127,34,99
131,2,128
135,52,124
139,45,87
143,-1,103
147,-25,-64
151,44,76
155,30,102
159,54,73
163,7,73
167,-22,120
171,57,84
175,-34,120
179,49,51
183,-32,126
187,54,90
191,-10,125
195,42,94
199,58,50
203,61,51
207,54,65
211,65,59
215,42,115
219,51,75
223,53,67
227,62,89
231,46,49
235,45,43
239,45,128
243,32,95
247,34,102
251,26,102
255,63,151
259,52,102
263,48,79
267,13,103
271,61,66
275,30,-111
279,31,-8
283,64,55
287,38,107
291,31,90
295,49,83
299,44,147
303,57,81
307,51,81
311,24,38
315,60,113
319,-12,-43
323,33,121
327,60,135
331,25,100
335,6,73
339,59,62
343,60,49
347,-44,147
351,56,46
355,45,74
359,61,67
363,-23,-66
367,47,45
371,44,75
375,65,46
379,20,-105
383,52,54
387,41,47
391,32,115
395,50,-83
399,48,74
403,52,142
407,12,-5
411,58,84
415,24,99
419,57,30
423,39,123
427,-5,-56
431,42,116
435,-30,115
439,44,89
443,61,138
447,41,79
451,46,133
455,48,50
459,66,34
463,9,-74
467,55,78
471,54,74
475,22,-100
479,49,87
483,57,76
487,59,-162
491,48,61
495,28,99
499,47,51
504,-37,-12
509,35,7
514,40,62
519,21,-17
526,47,74
533,50,55
540,49,81
547,45,75
554,-31,124
561,67,25
568,31,101
575,29,95
582,29,97
589,48,71
596,67,64
603,61,48
610,56,78
617,52,76
624,57,65
631,24,105
638,43,79
645,20,-88
652,43,122
659,48,127
666,54,71
673,37,83
680,44,129
687,-17,141
694,50,81
701,37,99
709,9,-10
717,6,96
725,4,21
733,51,-108
741,50,77
749,-1,132
757,1,110
765,-2,33
773,4,-7
781,3,15
789,52,-56
797,9,-9
805,32,45
813,-27,-61
821,22,86
829,53,131
837,3,13
845,62,138
853,57,89
861,-10,34
869,10,32
877,64,119
885,-28,-56
893,59,48
901,4,117
909,16,-4
917,2,96
925,40,126
933,-6,20
941,-6,24
949,68,132
957,35,100
965,3,14
973,13,13
981,53,-123
989,45,51
997,14,10
1005,31,45
1013,60,46
1021,-17,18
1029,11,5
1037,35,125
1045,22,-84
1053,62,41
1061,57,64
1069,8,-67
1077,8,117
1085,-13,31
1093,-4,135
1101,-3,102
1109,35,71
1117,2,31
1125,35,101
1133,-20,33
1141,-25,150
1149,-19,30
1157,-8,116
1165,52,30
1173,-1,121
1181,-5,15
1189,48,83
1197,23,-101
1205,46,35
1213,-13,25
1221,49,59
1229,36,30
1237,62,49
1245,8,49
1253,61,38
1261,18,41
1269,12,11
1277,-15,14
1285,56,125
1293,-6,123
1301,52,58
1309,-12,17
1317,-18,-55
1325,64,38
1333,12,-8
1341,54,110
1349,1,10
1357,48,85
1365,50,61
1373,51,33
1381,59,94
1389,24,80
1397,-31,116
1405,0,18
1413,56,83
1421,0,34
1429,3,33
1437,20,78
1445,-7,17
1453,31,-112
1461,3,20
1469,18,102
1477,32,46
1485,24,-103
1493,10,9
1501,14,-91
1509,37,70
1517,-1,21
1525,38,137
1533,25,78
1541,56,82
1549,20,80
1557,-8,21
1565,59,93
1573,51,27
1581,-3,106
1589,10,12
1597,-3,32
1605,-4,115
1613,57,90
1621,5,13
1629,-11,-40
1637,21,70
1645,-41,-72
1653,54,42
1661,-23,148
1669,53,80
1677,18,1
1685,-16,-46
1693,66,20
1701,21,108
1709,-36,-59
1717,73,70
1725,-20,140
1733,74,85
1741,-11,24
1749,4,35
1757,64,42
1765,-18,29
1773,55,46
1781,3,25
1789,11,-15
1797,39,26
1805,33,73
